X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,,,,,,,
-122.6765111,45.5214437,0,02.13 Urban Falcons,"Almost disappearing entirely from the state, Peregrine Falcons are struggling to make a comeback in Oregon. The use of a chemical for bug control in the 40's and 50's called DDT, caused an unintended decimation of the Peregrine population. Falcons who ate the bugs began laying eggs with soft shells that never hatched. Biologists since have been breeding the birds and releasing the chicks into the wild. Will their efforts make a difference?",2,13,4/15/91,,,,,,,,
-121.7299081,45.4320625,0,03.01 Cavity Nesting Habitat,"Better logging practices are helping more birds survive in the Mount Hood National Forest. Many birds nest inside dead trees, which loggers now leave behind. Northern flickers and hairy woodpeckers excavate cavities in the wood that they use for a season, and then abandon, to the benefit of other birds.",3,1,10/3/91,,,,,,,,
-123.0046501,42.4584167,0,03.01 Rogue River Raft Trip,The Rogue River flows 215 miles from Crater Lake to the Pacific Ocean. It's a beautiful trip by raft down one of the first rivers protected under the national Wild and Scenic Rivers bill.,3,1,10/3/91,,,,,,,,
-122.6591507,45.4942118,0,03.01 Springwater Trail,"In rails to trails programs across the state, abandoned railroad tracks are removed and the right-of-ways lines converted into wide, even walking trails. Field Guide follows the creation of part of Portland's Springwater Trail.",3,1,10/3/91,,,,,,,,
-123.4243234,44.1455596,0,03.02 Bird Haven,"The Cook family farm is called Bird Haven, and it's a nesting site for several types of swallows. The birds eat insects from the farm's peach and cherry trees, eliminating the need for pesticides. Unfortunately, fruit-eating birds are now the problem.",3,2,10/10/91,,,,,,,,
-118.3566106,42.6659512,0,03.02 Sage Grouse,"In spring in the high desert country, the male sage grouse puts on a show with a courting ritual that involves puffing up two sacks of air in his fluffy chest and spreading his tail feathers. But when the hens go to nest, very few of their chicks survive. We follow an Oregon State University scientist who is studying the hens, and looking for ways to reverse the decline in sage grouse populations.",3,2,10/10/91,,,,,,,,
-123.9477693,45.5353777,0,03.02 Shore Bird Count,The Pacific Flyway Project is Oregon's first attempt to gauge the health of the migratory shore bird population. The work on the ground is being done by volunteer birdwatchers.,3,2,10/10/91,,,,,,,,
-122.947366,46.0997752,0,03.03 Fish Genetics,Gill net fishermen in the Columbia River catch chinook salmon headed for number of tributaries. Some of these stocks are far more depleted than others. Now scientists can use genetic testing to determine the tributary of origin for fish caught in the Columbia.,3,3,11/7/91,,,,,,,,
-116.6959943,45.2554517,0,03.03 Hells Canyon Archaeology,"Students and archeologists find relics of a set of houses that were built in Hells Canyon over 1,000 years ago. The ancestors of today's Nez Perce Indians spent their winters here, living off the land.",3,3,11/7/91,,,,,,,,
-118.7002486,43.0178881,0,03.03 Wild Kiger Mustangs,"We travel to Diamond Valley in Southwestern Oregon to capture extremely rare footage of the wild Kigers mustangs, believed to be descendants of the Spanish mustangs. Thought to be extinct for a hundred years, these small, elusive horses were rediscovered in the 1970s. As wild and wary as deer or antelope, these horses live in an isolation that preserves their Spanish bloodline.",3,3,11/7/91,,,,,,,,
